"","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9"
"0.1",0.746666666666667,0.779333333333333,0.834666666666666,0.828,0.838,0.855333333333333,0.854666666666666,0.85,0.862
"0.2",0.706666666666667,0.726666666666667,0.765333333333333,0.787333333333333,0.764666666666667,0.782666666666667,0.805333333333334,0.802,0.817333333333333
"0.3",0.656666666666667,0.702666666666667,0.696666666666667,0.684666666666667,0.733333333333333,0.731333333333334,0.738666666666667,0.764,0.767333333333333
"0.4",0.657333333333333,0.660666666666667,0.668,0.646,0.681333333333333,0.666666666666667,0.704,0.686666666666667,0.740666666666667
"0.5",0.655333333333333,0.636666666666667,0.649333333333333,0.619333333333334,0.665333333333333,0.63,0.614,0.646,0.654
"0.6",0.644666666666667,0.635333333333333,0.605333333333334,0.632666666666667,0.604666666666667,0.59,0.583333333333333,0.571333333333333,0.587333333333333
"0.7",0.620666666666667,0.626666666666667,0.622,0.59,0.564666666666667,0.580666666666667,0.56,0.578666666666667,0.580666666666667
"0.8",0.606666666666667,0.615333333333333,0.620666666666667,0.603333333333333,0.559333333333333,0.581333333333333,0.57,0.558666666666667,0.542
"0.9",0.610666666666667,0.596,0.599333333333333,0.588,0.598666666666666,0.562666666666667,0.55,0.566,0.556666666666667
